CustomerId,Time,Price
c918ec3e68129b6d6311086ce97f5e5a,2018-01-01,99
63ab644c8f924cfaefaa6904fdf8f426,2018-01-01,99
1ca457bf975c1d087ab6e4a7a09f967e,2018-01-01,99
d4c1a46100048be25a18487a476e8e96,2018-01-01,99
38934b34b5a68849cd2b27abc0363af6,2018-01-01,99
c6f63fbb6d75495a9495442b7125c666,2018-01-01,99
0e52529288b7c8314ede68513eb2ffd3,2018-01-01,87
a65589a1bb558f6f513c166edb556051,2018-01-01,99
f49bfb08725ef14d35790bcc2eb5210d,2018-01-01,99
ab78b87b7f6453ba8b8e4be48095b2b8,2018-01-01,99
57585e1babf600463f48b898f0fe4849,2018-01-01,99
84a784d05ed260f8bf832204fb9b356d,2018-01-01,99
3db817f16232123a6ed10f63d1cdceff,2018-01-01,99
5571c37218887e69c04ef1b5ecf9beb9,2018-01-01,99
074b0bd5fce47729d7f89ba7efa56935,2018-01-01,99
e139b6739c11f056b0d5943e816fb212,2018-01-01,99
8cd5db3198136f5a3b9ba3d12d60a724,2018-01-01,99
db00e4e5c1075d81b21b5932e003e7bf,2018-01-01,99
0cc38716b145bbd09eecb0ebc6451d47,2018-01-01,99
032a67a14b6e70c748ecfada93908860,2018-01-01,99
7b697f1bf2c779260e2bfc8f3a390ab2,2018-01-01,87
d6ed9a75e9d1eaa9830f2443efcddd84,2018-01-01,99
05008b6961f02e29d9c632d32a21f704,2018-01-01,99
59f144f1369fc051787a52da43976f60,2018-01-01,99
8fe908cfec7f8f73b62ed3de6a3efb64,2018-01-01,99
21aac6e17b896137f2be876f6947252a,2018-01-01,99
c429ae900df54bb47438985680cfa162,2018-01-01,99
5a7ee230f9f56c652308c9fd5fd13a9a,2018-01-01,99
698fedb63a1fd5958a1ec41c42fbba2e,2018-01-01,99
f643bd809ce5ff3bf736ecec2580ce20,2018-01-01,99
03ece8f7444f48bf5df652a0aca8b7c6,2018-01-01,87
18c31c624cca117dc12b29325f9b3098,2018-01-01,99
66a7f6d89fecb1f8d95d6bebd7aec245,2018-01-01,87
de231c442fe71cde676e8882bffa482d,2018-01-01,99
23aed24ddd9a016c9cc54df766163f30,2018-01-01,99
7bee6ad2a05a7ae7d6a3021a1858aab8,2018-01-01,99
fdf2afed919f36ebaa38484b1e4aa3b2,2018-01-01,99
ab31b109d31ab0493dfa96ae3afd2ecf,2018-01-01,99
4093007c1b0af62660feba19460f86dd,2018-01-01,99
d309492b2d152902a9656dd64f2fa04d,2018-01-01,99
d9d7467558558f1bb0c57e1b20f550bd,2018-01-01,99
3d8f3b1f0631d79aacaa12857d372d28,2018-01-01,87
d6dbb3b0c9e7e5fc6210d568400545ef,2018-01-01,99
4b60ccf2810c04e791845abfaa0fb5df,2018-01-01,99
c2fe778367285410cecb5f6acd0074e1,2018-01-01,99
fb825288b47f0d6c897661ded154b0a8,2018-01-01,99
208fa1bec90e255d600942a8aad862a5,2018-01-01,99
da3b781a81419a090c5b08b765634df7,2018-01-01,99
adc4ed16c59e7fca7b4ab950480baecd,2018-01-01,99
b5457ba176df4e9085f5926b1d4520a5,2018-01-01,99
3b345bd2fae56680347e5eb1e6490dcb,2018-01-01,99
7e2b77b3576feb8ce1337c6caeab9eb4,2018-01-01,99
4b2ef443a590cfed39166f6b0236ce5f,2018-01-01,99
